"","Country","articleCount","GDPperCapita","GDPRank","PPP2013","articleRank"
"176","Ukraine",21,3900.465376,129,7423.13,56.5
"177","United Arab Emirates",7,43048.85015,22,30122.11,97.5
"178","United Kingdom",1322,41787.46798,24,37306.6,2
"179","United States",7079,53041.98141,10,53101.01,1
"180","Uruguay",2,16350.72817,53,16722.67,152
"181","US Virgin Islands",1,NA,NA,NA,178
"182","USSR",6,NA,NA,NA,105
"183","Vatican",1,NA,NA,NA,178
"184","Venezuela",2,14414.75353,60,13604.75,152
"185","Vietnam",45,1910.512818,156,4011.51,28.5
"186","West Indies",1,NA,NA,NA,178
"187","Western Europe",1,NA,NA,NA,178
"188","Yemen",1,1473.099564,171,2316.28,178
"189","Yugoslavia",2,NA,NA,NA,152
"190","Zambia",21,1844.799139,160,1753.98,56.5
"191","Zimbabwe",10,953.3806071,185,787.717,81.5
"192","American Samoa",0,NA,NA,NA,218.5
"193","Andorra",0,NA,NA,NA,218.5
"194","Antigua and Barbuda",0,13342.085,67,18558.11,218.5
"195","Aruba",0,NA,NA,NA,218.5
"196","Belarus",0,7575.48211,91,15753.21,218.5
"197","Belize",0,4893.926635,115,8715.6,218.5
"198","Bhutan",0,2362.581737,151,6369.71,218.5
"199","Bosnia and Herzegovina",0,4661.764245,120,8280.4,218.5
"200","Brunei",0,38563.31451,28,53430.94,218.5
"201","Burkina Faso",0,683.9484018,192,1585.01,218.5
"202","Burundi",0,267.1093219,209,641.712,218.5
"203","Cabo Verde",0,3767.115364,133,4337.71,218.5
"204","Cayman Islands",0,NA,NA,NA,218.5
"205","Central African Republic",0,333.1968806,208,541.93,218.5
"206","Comoros",0,814.9571488,187,1287.17,218.5
"207","Congo (Kinsasha)",0,484.2114713,204,647.754,218.5
"208","Curacao",0,NA,NA,NA,218.5
"209","Djibouti",0,1668.336703,164,2745.68,218.5
"210","Dominica",0,7175.626941,96,14282.94,218.5
"211","Equatorial Guinea",0,20581.60594,48,23369.77,218.5
"212","European Union",0,35438.4879,33,NA,218.5
"213","Faeroe Islands",0,NA,NA,NA,218.5
"214","Gabon",0,11571.08292,70,19478.29,218.5
"215","Gambia, The",0,488.5655946,203,1962.21,218.5
"216","Guinea-Bissau",0,563.7527714,199,1205.66,218.5
"217","Kiribati",0,1650.707224,166,6391.01,218.5
"218","Libya",0,11964.7307,68,11497.89,218.5
"219","Liechtenstein",0,NA,NA,NA,218.5
"220","Madagascar",0,462.9689428,205,970.054,218.5
"221","Maldives",0,6665.767695,100,9172.68,218.5
"222","Mauritania",0,1068.974597,178,2218.12,218.5
"223","Monaco",0,NA,NA,NA,218.5
"224","Montenegro",0,7106.861774,97,11912.64,218.5
"225","Niger",0,415.4173218,207,828.947,218.5
"226","Northern Mariana Islands",0,NA,NA,NA,218.5
"227","San Marino",0,NA,NA,NA,218.5
"228","Sao Tome and Principe",0,1609.823339,167,2194.45,218.5
"229","Serbia",0,6353.964741,104,11268.87,218.5
"230","Seychelles",0,16185.89948,54,26492.08,218.5
"231","Slovak Republic",0,18046.84318,52,24605.35,218.5
"232","Solomon Islands",0,1953.557318,155,3455.36,218.5
"233","South Sudan",0,1044.991678,181,1350.26,218.5
"234","St. Kitts and Nevis",0,14132.80188,61,15605.4,218.5
"235","St. Lucia",0,7328.370692,94,12729.73,218.5
"236","St. Martin ",0,NA,NA,NA,218.5
"237","St. Vincent and the Grenadines",0,6485.679146,103,12207.2,218.5
"238","Suriname",0,9825.743921,79,13116.11,218.5
"239","Timor-Leste",0,NA,NA,21705.22,218.5
"240","Turkmenistan",0,7986.698884,85,9509.73,218.5
"241","Turks and Caicos Islands",0,NA,NA,NA,218.5
"242","Tuvalu",0,3880.352322,130,3518.62,218.5
"243","Uzbekistan",0,1878.094921,157,3761.61,218.5
"244","Vanuatu",0,3276.734258,143,4718.04,218.5
"245","West Bank and Gaza",0,NA,NA,NA,218.5
